"New ID","Period of care end","Placement Type","Reason placement ended","Legal Statuses"
24444976,05/02/2013,"H5","E8","19/11/09-02/05/13 V2"
24579132,05/27/2015,"H5","E8","16/01/15-27/05/15 V2"
24582472,02/20/2015,"U6","E4A","03/09/14-20/02/15 C1"
24586379,04/14/2016,"K1","E8","30/03/16-14/04/16 J1"
24764749,06/11/2012,"A3","E11","21/12/09-19/03/12 V2; 19/03/12-11/06/12 E1"
24808096,08/04/2012,"H5","E8","01/02/12-04/08/12 V2"
24936352,06/24/2015,"K1","E8","29/05/15-24/06/15 J1"
24985128,01/29/2014,"A4","E11","23/05/12-25/05/12 L1; 25/05/12-10/01/13 C1; 10/01/13-29/01/14 E1"
25084745,07/16/2013,"Q2","E4","12/07/13-16/07/13 L1"
25183818,08/26/2014,"H5","E8","06/08/14-26/08/14 V2"
25194683,03/23/2016,"H5","E8","14/03/16-23/03/16 V2"
25194683,12/18/2016,"H5","E8","19/08/16-18/12/16 V2"
25386833,06/03/2015,"U6","E4B","20/03/15-03/06/15 V2"
